gold_id,case_id,conversation_id,customer_message,context,proposed_status,proposed_areas,proposed_intents,proposed_primary_intent,proposed_states,proposed_should_escalate,human_status,human_areas,human_intents,human_primary_intent,human_states,human_should_escalate,human_escalation_reason,human_notes,review_flags,assistant_outcome,review_priority,assistant_status_recommendation,assistant_areas_recommendation,assistant_intents_recommendation,assistant_primary_intent_recommendation,assistant_states_recommendation,assistant_should_escalate_recommendation,assistant_escalation_reason_recommendation,assistant_notes_recommendation,human_action,adjudication_status
gold_v3_0001,amazon_v3_case_0000001,3600001,Someone infiltrated my Amazon profile and charged hundreds of dollars in digital gift cards! I need this stopped immediately!,CUSTOMER: Someone infiltrated my Amazon profile and charged hundreds of dollars in digital gift cards! I need this stopped immediately!,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized account takeover with fraudulent gift card charges.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized account takeover with fraudulent gift card charges.,SIGNED_OFF,ADJUDICATED
gold_v3_0002,amazon_v3_case_0000002,3600002,Got a notification that my primary login email was switched to a yopmail address. I never authorized this! Please help recover my account.,"CUSTOMER: Received a critical security notification on my smartphone.
BRAND: Did the alert specify any unauthorized changes to your credentials?
CUSTOMER: Got a notification that my primary login email was switched to a yopmail address. I never authorized this! Please help recover my account.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized email change reported by customer.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized email change reported by customer.,SIGNED_OFF,ADJUDICATED
gold_v3_0003,amazon_v3_case_0000003,3600003,My account was hijacked while I was on vacation and multiple orders were dispatched to a locker in Miami that isn't mine.,"CUSTOMER: Need urgent investigation on unexpected delivery dispatch emails.
BRAND: Can you check if those orders reflect on your recent order history?
CUSTOMER: My account was hijacked while I was on vacation and multiple orders were dispatched to a locker in Miami that isn't mine.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Account hijacked with fraudulent orders to unfamiliar location.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Account hijacked with fraudulent orders to unfamiliar location.,SIGNED_OFF,ADJUDICATED
gold_v3_0004,amazon_v3_case_0000004,3600004,I suspect someone else accessed my account because items are appearing in my browsing and purchase history that I never searched for or ordered.,"CUSTOMER: I'm noticing very strange things in my Amazon profile.
BRAND: Could you describe what unusual activity you are seeing?
CUSTOMER: I suspect someone else accessed my account because items are appearing in my browsing and purchase history that I never searched for or ordered.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unrecognized purchase history indicating unauthorized access.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unrecognized purchase history indicating unauthorized access.,SIGNED_OFF,ADJUDICATED
gold_v3_0005,amazon_v3_case_0000005,3600005,I never requested that password change notification I got at 3 AM. Now I'm locked out and terrified someone stole my payment cards.,"CUSTOMER: Something is wrong, my account password stopped working overnight.
BRAND: Did you receive any security emails regarding your credentials?
CUSTOMER: I never requested that password change notification I got at 3 AM. Now I'm locked out and terrified someone stole my payment cards.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unsolicited password change with lockout and fraud risk.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unsolicited password change with lockout and fraud risk.,SIGNED_OFF,ADJUDICATED
gold_v3_0006,amazon_v3_case_0000006,3600006,There are unauthorized transactions showing on my account from yesterday that weren't me. Someone has breached my login.,"CUSTOMER: Fraud alert on my registered debit card from Amazon.
BRAND: Have you verified the purchase history under Your Orders?
CUSTOMER: There are unauthorized transactions showing on my account from yesterday that weren't me. Someone has breached my login.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Account breach resulting in unauthorized transactions.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Account breach resulting in unauthorized transactions.,SIGNED_OFF,ADJUDICATED
gold_v3_0007,amazon_v3_case_0000007,3600007,Someone broke into my Amazon account and added an unknown phone number for two-step verification so I can't receive the OTP!,"CUSTOMER: I am unable to receive my login verification code.
BRAND: Is your primary phone number showing on the 2FA prompt?
CUSTOMER: Someone broke into my Amazon account and added an unknown phone number for two-step verification so I can't receive the OTP!",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Intruder compromised account by adding unauthorized 2FA device.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Intruder compromised account by adding unauthorized 2FA device.,SIGNED_OFF,ADJUDICATED
gold_v3_0008,amazon_v3_case_0000008,3600008,An intruder took over my account and placed an order for high-end gaming equipment to an address I've never heard of.,"CUSTOMER: Urgent help needed with an order placed without my consent.
BRAND: What specific details can you provide about the order?
CUSTOMER: An intruder took over my account and placed an order for high-end gaming equipment to an address I've never heard of.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Account takeover with unauthorized order placement.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Account takeover with unauthorized order placement.,SIGNED_OFF,ADJUDICATED
gold_v3_0009,amazon_v3_case_0000009,3600009,I think my credentials were compromised in a data leak. Someone is currently logged into my account changing my shipping addresses.,"CUSTOMER: Seeing address changes in my account settings right now.
BRAND: Did you recently update any shipping preferences?
CUSTOMER: I think my credentials were compromised in a data leak. Someone is currently logged into my account changing my shipping addresses.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Active unauthorized account manipulation following credential compromise.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Active unauthorized account manipulation following credential compromise.,SIGNED_OFF,ADJUDICATED
gold_v3_0010,amazon_v3_case_0000010,3600010,My Amazon account has been taken over by a scammer who changed my recovery credentials without my consent.,"CUSTOMER: Emergency: account locked out and recovery options altered.
BRAND: Have you tried resetting via your original recovery email?
CUSTOMER: My Amazon account has been taken over by a scammer who changed my recovery credentials without my consent.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Malicious account takeover with altered recovery credentials.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Malicious account takeover with altered recovery credentials.,SIGNED_OFF,ADJUDICATED
