gold_id,case_id,conversation_id,customer_message,context,proposed_status,proposed_areas,proposed_intents,proposed_primary_intent,proposed_states,proposed_should_escalate,human_status,human_areas,human_intents,human_primary_intent,human_states,human_should_escalate,human_escalation_reason,human_notes,review_flags,assistant_outcome,review_priority,assistant_status_recommendation,assistant_areas_recommendation,assistant_intents_recommendation,assistant_primary_intent_recommendation,assistant_states_recommendation,assistant_should_escalate_recommendation,assistant_escalation_reason_recommendation,assistant_notes_recommendation,human_action,adjudication_status
gold_v2_0001,amazon_v2_case_0000001,2400001,Someone broke into my amazon account and ordered 3 iphones to an address in Texas! I live in Ohio! Please lock it down immediately!,CUSTOMER: Someone broke into my amazon account and ordered 3 iphones to an address in Texas! I live in Ohio! Please lock it down immediately!,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized account access and fraudulent purchase.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized account access and fraudulent purchase.,SIGNED_OFF,ADJUDICATED
gold_v2_0002,amazon_v2_case_0000002,2400002,"My email linked with Amazon was changed without my permission this morning. I didn't authorize this, help me recover it.","CUSTOMER: My email linked with Amazon was changed without my permission this morning. I didn't authorize this, help me recover it.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized email change reported by user.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized email change reported by user.,SIGNED_OFF,ADJUDICATED
gold_v2_0003,amazon_v2_case_0000003,2400003,i think my acct is compromised... got text saying password changed 10 mins ago but it wasnt me!!,"CUSTOMER: Urgent, something wrong with my credentials.
BRAND: What specific alert or notification did you receive?
CUSTOMER: i think my acct is compromised... got text saying password changed 10 mins ago but it wasnt me!!",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Compromised account notification; password changed without user consent.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Compromised account notification; password changed without user consent.,SIGNED_OFF,ADJUDICATED
gold_v2_0004,amazon_v2_case_0000004,2400004,"help, suspicious account activity detected on my profile and now it says account is locked for safety.","CUSTOMER: Cannot access my Amazon account.
BRAND: What message appears when you try to sign in?
CUSTOMER: help, suspicious account activity detected on my profile and now it says account is locked for safety.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Suspicious activity lockout requiring specialist review.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Suspicious activity lockout requiring specialist review.,SIGNED_OFF,ADJUDICATED
gold_v2_0005,amazon_v2_case_0000005,2400005,My account was locked because of suspicious activity. I went through the password reset loop three times and it still rejects my login.,CUSTOMER: My account was locked because of suspicious activity. I went through the password reset loop three times and it still rejects my login.,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,ACCOUNT_SECURITY_COMPROMISE,Account lock with failed password reset recovery loop.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,ACCOUNT_SECURITY_COMPROMISE,Account lock with failed password reset recovery loop.,SIGNED_OFF,ADJUDICATED
gold_v2_0006,amazon_v2_case_0000006,2400006,"I responded to the address verification email to unlock my account 5 days ago, but no reply and still locked out.","CUSTOMER: My account was put on hold last week.
BRAND: Please reply to the account specialist verification email with requested proof.
CUSTOMER: I responded to the address verification email to unlock my account 5 days ago, but no reply and still locked out.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,ACCOUNT_SECURITY_COMPROMISE,Unresponsive account specialist verification email resulting in prolonged lockout.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,WAITING_WINDOW_EXCEEDED,True,ACCOUNT_SECURITY_COMPROMISE,Unresponsive account specialist verification email resulting in prolonged lockout.,SIGNED_OFF,ADJUDICATED
gold_v2_0007,amazon_v2_case_0000007,2400007,Account hijacked! Hacker added their phone number as 2FA so I cannot receive the OTP codes anymore!,CUSTOMER: Account hijacked! Hacker added their phone number as 2FA so I cannot receive the OTP codes anymore!,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Account takeover with 2FA device modification.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Account takeover with 2FA device modification.,SIGNED_OFF,ADJUDICATED
gold_v2_0008,amazon_v2_case_0000008,2400008,Someone accessed my account without authorization and placed orders using my saved Amazon gift card balance.,CUSTOMER: Someone accessed my account without authorization and placed orders using my saved Amazon gift card balance.,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized account access and balance misuse.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized account access and balance misuse.,SIGNED_OFF,ADJUDICATED
gold_v2_0009,amazon_v2_case_0000009,2400009,im locked out after identity verification failed online. It says contact customer support specialist.,"CUSTOMER: Trouble completing account verification.
BRAND: What does the verification portal display?
CUSTOMER: im locked out after identity verification failed online. It says contact customer support specialist.",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Identity verification failure prompting specialist escalation.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Identity verification failure prompting specialist escalation.,SIGNED_OFF,ADJUDICATED
gold_v2_0010,amazon_v2_case_0000010,2400010,I got an alert about an unauthorized login attempt from an unknown browser in Romania. Is my account safe?,"CUSTOMER: Security question regarding recent login alert.
BRAND: Did you receive an email regarding an unrecognized location?
CUSTOMER: I got an alert about an unauthorized login attempt from an unknown browser in Romania. Is my account safe?",NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized foreign login attempt alert.,,AUTO_ACCEPTED,P2,NORMAL,ACCOUNT_ACCESS_AND_SECURITY,ACCOUNT_LOGIN_ISSUES,ACCOUNT_LOGIN_ISSUES,INITIAL_INQUIRY,True,ACCOUNT_SECURITY_COMPROMISE,Unauthorized foreign login attempt alert.,SIGNED_OFF,ADJUDICATED
